metric,baseline,garway_heath,delta(new-base)
plain_mae,4.2277,4.0405,-0.1872
weighted_mae,4.2131,4.0361,-0.1770
pearson_r,0.5628,0.5978,+0.0350
r2,0.3167,0.3574,+0.0407
slope,0.3464,0.4101,+0.0637
bias,0.1895,0.7299,+0.5404
rmse,5.8511,5.7405,-0.1106
per_eye_corr,0.4021,0.4459,+0.0437

sector_id,sector,baseline_mae,garway_heath_mae,delta(new-base),n_points
0,Central-Superior,4.0021,3.7165,-0.2855,188
1,Central-Inferior,4.2315,3.9203,-0.3112,188
2,Superonasal,4.5926,4.4868,-0.1058,329
3,Superior-arcuate,4.1000,4.1246,+0.0246,376
4,Inferonasal,4.6707,4.6019,-0.0688,329
5,Inferior-arcuate,3.7254,3.5421,-0.1833,376
6,Nasal-periphery,4.6332,4.3925,-0.2407,282
7,Temporal-wedge,3.9575,3.5311,-0.4263,376

gt_sensitivity_bin,baseline_mae,garway_heath_mae,delta(new-base),n_points
0-10dB,12.1216,12.4150,+0.2934,160
10-20dB,5.5648,5.7070,+0.1422,421
20-30dB,2.8974,2.6934,-0.2040,1737
30-36dB,5.1674,3.6654,-1.5020,66
deep(<16),9.8403,9.7216,-0.1186,386
preserved(>=16),3.1750,2.9749,-0.2000,2058

per_eye_severity_group,baseline_mae,garway_heath_mae,delta(new-base),n_eyes
severe(<16),7.9887,7.4878,-0.5008,7
moderate(16-26),3.6035,3.5415,-0.0620,35
early(>26),3.3318,2.7075,-0.6244,5
